id,fecha,pais_de_residencia,provincia_de_espana,ciudad_residencia,situacion_en_espana,profesion,autonomia_economica,familia_edades,coche_propio,carnet_coche,mascota,presupuesto_alquiler,primera_segunda_vivienda,zona_interes,predisposicion_pueblo
U-000032,2020-11-24,España,,Valencia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Graduado social,,"41, 25",No,No,No,Hasta 450€,Primera residencia,Indiferente,6 meses
U-000036,2020-11-25,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Abogado,,"63,43,40,29,15,12",Si,Si,No,Hasta 450€,Primera residencia,Indiferente,6 meses
U-000040,2020-11-26,España,,Muro de Alcoi,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,3 meses,47,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses
U-000041,2020-11-26,España,,madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,,30-36,Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses
U-000044,2020-11-27,España,,Tacoronte,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Pensionista,,"36,15 y 4 años",No,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000045,2020-11-27,España,,Granada,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Hostelero,3 meses,48 y 32,No,No,Si,Hasta 450€,Primera residencia,Indiferente,1 mes
U-000047,2020-11-27,España,,"Vic, Barcelona",Tengo nacionalidad española / de un país de la UE / permiso de residencia,Artes visuales,3 meses,Yo tengo 55 años y no tengo hijos,No,No,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses
U-000048,2020-11-28,España,,Zaragoza,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Mozo almacén,Más de 1 año,40,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses
U-000049,2020-11-28,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,39,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,3 meses
U-000050,2020-11-28,España,,Premia de mar,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ganadero,6 meses,39 y 35,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Burgos,1 mes
U-000051,2020-11-28,Latino América,,Cordoba Capital,No estoy en ninguna de esas situaciones,Freelance digital,3 meses,24,No,No,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000052,2020-11-28,España,,Coslada,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Funcionario,,57 y 56,Si,Si,No,Hasta 450€,Segunda residencia,Indiferente,6 meses
U-000053,2020-11-28,España,,Arroyomolinos,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Maestro de Educación Primaria,,0,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando
U-000054,2020-11-29,España,,Fuenlabrada,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,6 meses,25,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-000055,2020-11-29,España,,Barakaldo (Bizkaia),Tengo nacionalidad española / de un país de la UE / permiso de residencia,Maestro de Educación Primaria,3 meses,31,Si,Si,No,Hasta 450€,Primera residencia,Pueblos de Burgos,6 meses
U-000056,2020-11-29,España,,Madrid,No estoy en ninguna de esas situaciones,Ingeniero,6 meses,34 años y - 4 meses de edad,Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,1 mes
U-000057,2020-11-29,España,,HUMANES DE MADRID,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,Más de 1 año,"71, 41, 40, 13, 10 Y 6 AÑOS",Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,3 meses
U-000058,2020-11-29,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Gestor cultural,6 meses,40 y 35,No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,1 mes
U-000059,2020-11-30,España,,Madrid Alcobendas,No estoy en ninguna de esas situaciones,Electricista,1 año,"32,31,10,6y1año",Si,No,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,1 mes
U-000060,2020-11-30,España,,Torrejon de ardoz!,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,24 - 18,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000061,2020-11-30,España,,Madrid,No estoy en ninguna de esas situaciones,Esteticista,,38 31 Y 7,No,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,1 mes
U-000062,2020-11-30,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,"35,28,7,2",Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
U-000065,2020-11-30,Latino América,,Comunidad de Madrid,No estoy en ninguna de esas situaciones,Administrativo,Más de 1 año,42 y 10años,No,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,1 mes
U-000066,2020-11-30,España,,MADRID,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Profesor,,"2 AÑOS, 38 AÑOS Y 46 AÑOS",No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
U-000067,2020-11-30,España,,Hospitalet de Llobregat,No estoy en ninguna de esas situaciones,Cocinero,1 año,32,No,No,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-000068,2020-11-30,España,,ALAMEDA DEL VALLE,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Informático,,"38, 46, 2",No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
U-000069,2020-12-01,España,,Alameda del Valle,No estoy en ninguna de esas situaciones,Ingeniero,3 meses,61 42 37 14 7 3 1,Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,1 mes
U-000070,2020-12-01,España,,Elche,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,3 meses,57 y 31,No,No,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-000071,2020-12-01,España,,Segovia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,,53,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000072,2020-12-01,España,,Vilanova del Valles,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Profesor,,57-47,Si,Si,Si,Hasta 600€,Primera residencia,Indiferente,3 meses
U-000073,2020-12-02,España,,Madrid,No estoy en ninguna de esas situaciones,Ingeniero,3 meses,30 y 10,No,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,1 mes
U-000074,2020-12-02,España,,Barcelona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Auxiliar,3 meses,47 - 37 - 15 - 5 y 4,No,No,No,Hasta 450€,Primera residencia,Pueblos de Soria,3 meses
U-000075,2020-12-02,España,,Santa Cruz de Tenerife,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Técnico,,32,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000076,2020-12-02,Latino América,,La Paz,No estoy en ninguna de esas situaciones,Cocinero,6 meses,"42, 33, 13, 11, 9",No,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes
U-000077,2020-12-03,España,,Palencia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Panadero,,"2, 4, 17, 25, 41, 54",No,Si,No,Hasta 450€,Primera residencia,Pueblos de Zaragoza,1 mes
U-000078,2020-12-03,Latino América,,Maturín,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Geólogo,3 meses,35 Y 31,No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000079,2020-12-04,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Técnico,,59. 57.17.,Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-000080,2020-12-04,España,,Silleda,No estoy en ninguna de esas situaciones,Auxiliar,6 meses,"42, 15, 5 años",Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,1 mes
U-000081,2020-12-04,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,,33-36,Si,Si,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando
U-000082,2020-12-05,España,,Sevilla,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,3 meses,20 años,No,No,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000083,2020-12-05,España,,Moralzarzal,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,"36, 36, 15, 9, 5",Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,6 meses
U-000084,2020-12-05,España,,Viladecavalls,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Pastelero,1 año,32 y 24,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000085,2020-12-06,España,,Portugalete,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Trabajo de campo,Más de 1 año,30,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Burgos,1 mes
U-000086,2020-12-06,España,,Sevilla,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Peluquería,3 meses,"24, 23",No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000087,2020-12-06,España,,Utrera,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,3 meses,52 años,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000088,2020-12-06,España,,Leganes,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,3 meses,23,Si,Si,Si,Hasta 600€,Primera residencia,Sierra norte de Madrid,6 meses
U-000089,2020-12-06,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,6 meses,30-21,No,No,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000091,2020-12-07,España,,"Puerto Lumbreras, Murcia",No estoy en ninguna de esas situaciones,Logística de transportes,3 meses,"54,45,14,2",Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,1 mes
U-000092,2020-12-07,España,,MANACOR,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Médico Especialista,1 año,60,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,6 meses
U-000093,2020-12-07,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Albañil,,"Yo 29 , 27 11,6 y 6",No,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
U-000094,2020-12-07,???????,,Guadalajara,? ?? ???????? ?? ? ????? ?? ???? ????????,?????,6 ???????,26-27,???,???,No,?? 300 ????,?????? ??????????,? ?????????,1 ?????
U-000095,2020-12-07,Latino América,,Buenos Aires,No estoy en ninguna de esas situaciones,Ingeniero,6 meses,35 y 3,No,No,No,Hasta 450€,Primera residencia,Indiferente,Aún me lo estoy pensando
U-000098,2020-12-08,España,,Los Barrios,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ingeniero,,"42,39,4",Si,Si,No,Hasta 300€,Segunda residencia,Indiferente,6 meses
U-000099,2020-12-09,España,,San Sebastian de los Reyes,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,6 meses,"40,21,4,y 31 meses",Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,1 mes
U-000100,2020-12-09,España,,Talavera de la Reina,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Carnicero,3 meses,51,No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000101,2020-12-09,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Recepcionista,,.,Si,Si,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,Aún me lo estoy pensando
U-000102,2020-12-10,España,,Terrassa,No estoy en ninguna de esas situaciones,Periodista,1 año,60. 58. 43.31,No,No,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
U-000103,2020-12-10,Latino América,,Buenos Aires,No estoy en ninguna de esas situaciones,Administrativo,6 meses,3 39,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000104,2020-12-10,España,,Granada,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,3 meses,43-43-8-5,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,Aún me lo estoy pensando
U-000105,2020-12-10,Latino América,,Cuenca,No estoy en ninguna de esas situaciones,Biólogo ambiental,6 meses,34,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,6 meses
U-000106,2020-12-11,España,,Móstoles (Madrid),Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,,71 y 66 años respectivamente.,Si,Si,No,Hasta 300€,Segunda residencia,Sierra norte de Madrid,Aún me lo estoy pensando
U-000107,2020-12-11,España,,Coslada,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,6 meses,"35,39",Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,1 mes
U-000108,2020-12-11,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Comercio internacional,Más de 1 año,"39,34 y 2 meses",Si,Si,No,Más de 600€,Primera residencia,Sierra norte de Madrid,6 meses
U-000109,2020-12-12,España,,Carandía,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Freelance digital,3 meses,"yo, 23",Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,1 mes
U-000110,2020-12-13,España,,salamanca,No estoy en ninguna de esas situaciones,Limpieza,1 año,34 y 38,No,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,1 mes
U-000111,2020-12-13,Latino América,,"Santa Rosa de Lima, Santa Rosa",No estoy en ninguna de esas situaciones,Maestro de Educación Primaria,3 meses,"27, 25, 24, 7, 4",No,No,No,Hasta 600€,Primera residencia,Sierra norte de Madrid,6 meses
U-000112,2020-12-13,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Marketing y publicidad,3 meses,Sesenta 60,Si,No,Si,Hasta 450€,Primera residencia,Indiferente,6 meses
U-000117,2020-12-14,España,,Murcia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,3 meses,"56, 42, 26, 18, 13, 2",Si,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes
U-000119,2020-12-15,Otro,,Londres,No estoy en ninguna de esas situaciones,Profesor,,58,No,No,Si,Hasta 300€,Primera residencia,Indiferente,1 mes
U-000120,2020-12-15,España,,Zaragoza,No estoy en ninguna de esas situaciones,Carnicero,,42 y 49,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses
U-000122,2020-12-15,España,,Toledo,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,3 meses,74 52 49,Si,Si,Si,Hasta 300€,Primera residencia,Pueblos de Burgos,1 mes
U-000123,2020-12-16,España,,Bera de bidasoa,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Operario,,47,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,6 meses
U-000124,2020-12-17,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Administrativo,3 meses,"38,5 y 0",No,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-000125,2020-12-17,España,,Guadalajara,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Comercial,,"57, 28,24",Si,Si,Si,Hasta 600€,Primera residencia,Sierra norte de Madrid,3 meses
U-000126,2020-12-17,España,,palafolls,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ingeniero,Más de 1 año,34,Si,Si,Si,Hasta 450€,Primera residencia,Indiferente,1 mes
U-000127,2020-12-17,España,,Valencia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Jubilado,,-,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000128,2020-12-17,España,Valencia,puerto de sagunto (valencia),No estoy en ninguna de esas situaciones,Atención al cliente,3 meses,47-40-39-10-9,No,No,No,Hasta 300€,Primera residencia,Pueblos de Soria,6 meses
U-000129,2020-12-17,España,,Tolosa,No estoy en ninguna de esas situaciones,Sanitario,3 meses,1027,No,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes
U-000132,2020-12-19,España,,Tarragona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,Más de 1 año,25,Si,Si,Si,Hasta 450€,Primera residencia,Pueblos de Zaragoza,1 mes
U-000133,2020-12-19,Latino América,,Ibague,No estoy en ninguna de esas situaciones,Auxiliar,3 meses,38 y 14,No,Si,Si,Hasta 300€,Primera residencia,Indiferente,1 mes
U-000134,2020-12-21,España,,Escalona,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Empleado del hogar,3 meses,21 23,No,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000135,2020-12-21,España,,Vitoria,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Dietista/ Nutricionista,Más de 1 año,bebé de 12 meses y pareja de 45 anyos y 44,Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,3 meses
U-000136,2020-12-22,España,,madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Camarero,3 meses,"4 AÑOS, GEMELAS",Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-000137,2020-12-22,España,,S'illot,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Hostelero,,24 20,Si,Si,No,Hasta 450€,Primera residencia,Indiferente,6 meses
U-000138,2020-12-23,España,,Mollet del Vallès,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,,31-12-10-7-2,No,Si,No,Hasta 300€,Primera residencia,Pueblos de Soria,1 mes
U-000139,2020-12-23,España,,"Vendrell, El",No estoy en ninguna de esas situaciones,Informático,3 meses,"33, 30 y 12",No,No,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,1 mes
U-000140,2020-12-25,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Cocinero,6 meses,38 27 5 2 meses,Si,Si,No,Hasta 600€,Primera residencia,Indiferente,3 meses
U-000142,2020-12-26,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Otro,Más de 1 año,57,No,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
U-000143,2020-12-26,España,,Valencia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Empresario,,"59, 55, 19, 16",Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,3 meses
U-000144,2020-12-26,España,,Elorrio,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Limpieza,,25 25 7 5,No,No,No,Hasta 300€,Primera residencia,Pueblos de Burgos,3 meses
U-000145,2020-12-26,España,,Atzaneta de albaida,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Auxiliar,Más de 1 año,53.....57,Si,Si,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000146,2020-12-26,España,,Barbera del Valles,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Documentalista,,"49,50, 21,13,51,74",No,Si,No,Hasta 600€,Primera residencia,Indiferente,Aún me lo estoy pensando
U-000147,2020-12-27,España,,zaragoza,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,3 meses,40 y 29,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000148,2020-12-27,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Autónomo,Más de 1 año,0,No,Si,Si,Hasta 300€,Segunda residencia,Sierra norte de Madrid,1 mes
U-000149,2020-12-27,España,,MADRID,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Economista,,"61,60,28",Si,Si,No,Hasta 450€,Segunda residencia,Sierra norte de Madrid,Aún me lo estoy pensando
U-000151,2020-12-28,Latino América,,Santiago de Chile,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Técnico,,34,No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000152,2020-12-28,España,,Madrid,No estoy en ninguna de esas situaciones,Auxiliar,,33 y 29,Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-000153,2020-12-28,España,,Arenys de Mar,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Informático,,30,No,No,Si,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000155,2020-12-28,España,,San Sebastián de los Reyes,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,,32,Si,Si,No,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-000156,2020-12-29,España,,Valencia,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ingeniero,,"42, 33",Si,Si,No,Más de 600€,Primera residencia,Sierra norte de Madrid,6 meses
U-000157,2020-12-29,España,,Puçol,No estoy en ninguna de esas situaciones,Jardinero,3 meses,0,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,1 mes
U-000158,2020-12-29,España,,Barcelona,No estoy en ninguna de esas situaciones,Atención al cliente,1 año,40 y 03 años,No,Si,No,Hasta 450€,Primera residencia,Indiferente,1 mes
U-000159,2020-12-30,Latino América,,Tafí Viejo,No estoy en ninguna de esas situaciones,Arquitecto,6 meses,"42, 8, 6, 2",No,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000161,2020-12-30,Latino América,,Maracaibo,No estoy en ninguna de esas situaciones,Economista,3 meses,"40, 6",No,Si,No,Hasta 300€,Primera residencia,Pueblos de Zaragoza,6 meses
U-000162,2020-12-31,España,,Madrod,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Ingeniero Industrial,,"45, 42, 9 y 14",Si,Si,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
U-000163,2020-12-31,España,,Boadilla del Monte,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Funcionario,,"63, 62",Si,Si,No,Más de 600€,Primera residencia,Pueblos de Soria,6 meses
U-000164,2021-01-01,Latino América,,Encarnacion,No estoy en ninguna de esas situaciones,Administrativo,1 año,36 34 11 5,Si,Si,Si,Hasta 300€,Primera residencia,Sierra norte de Madrid,6 meses
U-000165,2021-01-01,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Funcionario,,"42, 37, 4 y 0 (bebé en camino)",Si,Si,Si,Hasta 450€,Primera residencia,Sierra norte de Madrid,6 meses
U-000166,2021-01-01,España,,Tres Cantos,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Conductor,6 meses,43,Si,Si,No,Hasta 300€,Primera residencia,Indiferente,6 meses
U-000168,2021-01-01,España,,Benidorm,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Atención al cliente,,"43,31 y 3",Si,Si,No,Hasta 450€,Primera residencia,Indiferente,6 meses
U-000169,2021-01-02,España,,Madrid,Tengo nacionalidad española / de un país de la UE / permiso de residencia,Hostelero,3 meses,38,No,No,No,Hasta 450€,Primera residencia,Sierra norte de Madrid,3 meses
